City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
203,Aykhal,RU,66.0,111.5,60.17,60,11,9.35,few clouds
204,Mandalgovi,MN,45.7625,106.2708,61.38,54,100,8.99,overcast clouds
205,Tura,IN,25.5198,90.2201,74.1,93,46,4.88,scattered clouds
206,Rovaniemi,FI,66.5,25.7167,56.61,88,0,6.91,clear sky
207,Ekibastuz,KZ,51.6667,75.3667,63.07,81,71,8.97,broken clouds
208,Cockburn Town,TC,21.4612,-71.1419,82.36,74,40,17.27,scattered clouds
209,Tuatapere,NZ,-46.1333,167.6833,40.32,72,19,3.53,few clouds
210,Beringovskiy,RU,63.05,179.3167,50.4,84,100,14.65,overcast clouds
211,Piranhas,BR,-16.4269,-51.8222,74.93,38,7,1.14,clear sky
212,Tabou,CI,4.423,-7.3528,76.12,79,99,11.45,overcast clouds
213,Fairlie,GB,55.756,-4.8556,60.4,89,39,1.99,scattered clouds
214,Banbury,GB,52.0602,-1.3403,60.84,40,1,6.82,clear sky
215,Sibolga,ID,1.7427,98.7792,75.67,82,100,2.89,overcast clouds
216,Payakumbuh,ID,-0.2202,100.6308,67.06,96,89,3.67,overcast clouds
217,Te Anau,NZ,-45.4167,167.7167,36.37,81,42,1.83,scattered clouds
218,Maceio,BR,-9.6658,-35.7353,72.84,94,100,16.11,overcast clouds
219,Yichang,CN,30.7144,111.2847,81.99,81,12,3.15,few clouds
220,Svirstroy,RU,60.7999,33.7248,55.94,88,49,5.21,scattered clouds
221,Puerto Lleras,CO,3.0223,-73.4044,72.9,89,67,2.35,broken clouds
222,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,93,100,8.05,mist
223,Kholtoson,RU,50.2981,103.3097,50.79,93,90,1.03,overcast clouds
224,Parry Sound,CA,45.3501,-80.033,68.07,56,10,7.49,clear sky
225,Shumskiy,RU,54.8318,99.1328,56.23,89,77,1.52,broken clouds
226,Luwingu,ZM,-10.2621,29.9271,58.01,58,100,3.85,overcast clouds
227,Dumai,ID,1.6833,101.45,73.35,90,100,2.64,overcast clouds
228,Saldanha,ZA,-33.0117,17.9442,55.71,92,32,15.39,light rain
229,Calamar,CO,10.2511,-74.9146,82.72,84,89,10.09,overcast clouds
230,Georgetown,MY,5.4112,100.3354,83.89,81,20,0.0,heavy intensity rain
231,Wanning,CN,18.8003,110.3967,80.94,86,99,2.91,overcast clouds
232,Tautira,PF,-17.7333,-149.15,76.64,70,63,16.78,broken clouds
233,Karcsa,HU,48.3113,21.8054,58.41,70,86,6.78,overcast clouds
234,Kruisfontein,ZA,-34.0033,24.7314,60.89,80,11,11.88,few clouds
235,Samfya,ZM,-11.3649,29.5565,58.5,63,52,7.81,broken clouds
236,Pangkalanbuun,ID,-2.6833,111.6167,73.17,94,91,2.39,overcast clouds
237,Berbera,SO,10.4396,45.0143,87.93,42,100,30.62,overcast clouds
238,Cordele,US,31.9635,-83.7824,86.52,74,0,9.22,clear sky
239,Saquarema,BR,-22.92,-42.5103,68.94,91,56,9.86,broken clouds
240,Norfolk,US,42.1668,-71.2495,79.61,55,0,4.61,clear sky
241,North Bend,US,43.4065,-124.2243,75.24,78,40,13.8,scattered clouds
242,Turje,HU,46.9837,17.1074,65.91,90,99,6.33,overcast clouds
243,Parabel,RU,58.6978,81.4825,63.43,84,99,5.26,overcast clouds
244,Sorong,ID,-0.8833,131.25,77.77,88,54,6.24,broken clouds
245,Kendari,ID,-3.945,122.4989,74.77,94,37,1.66,scattered clouds
246,Belmonte,BR,-15.8631,-38.8828,71.51,82,8,8.41,clear sky
247,Nemuro,JP,43.3236,145.575,58.03,99,100,16.71,overcast clouds
248,Inhambane,MZ,-23.865,35.3833,66.13,77,0,7.52,clear sky
249,Jardim,BR,-21.4803,-56.1381,74.84,40,1,4.52,clear sky
250,Vao,NC,-22.6667,167.4833,76.82,75,58,20.07,broken clouds
251,Sale,MA,34.0389,-6.8166,86.63,94,0,4.61,clear sky
252,Anderson,US,34.5334,-82.6499,89.69,67,0,3.44,clear sky
253,Namatanai,PG,-3.6667,152.4333,82.94,64,24,7.49,few clouds
254,Sweetwater,US,25.7634,-80.3731,90.0,70,20,13.8,few clouds
255,Tahlequah,US,35.9154,-94.97,94.28,45,1,12.37,clear sky
256,Namtsy,RU,62.7161,129.6658,59.07,76,100,3.89,overcast clouds
257,San Martin,AR,-33.081,-68.4681,64.94,17,22,14.94,few clouds
258,Okahandja,NA,-21.9833,16.9167,47.07,60,0,0.67,clear sky
259,Husavik,IS,66.0449,-17.3389,53.73,82,98,4.61,overcast clouds
260,Sobolevo,RU,54.4299,31.8996,58.3,97,100,7.65,light rain
261,Faya,SA,18.3851,42.4509,63.12,35,100,3.47,overcast clouds
262,Ponta Do Sol,PT,32.6667,-17.1,77.13,35,3,1.63,clear sky
263,Khash,IR,28.2211,61.2158,80.62,30,77,4.5,broken clouds
264,Sao Filipe,CV,14.8961,-24.4956,74.23,84,33,9.06,scattered clouds
265,Viedma,AR,-40.8135,-62.9967,47.91,67,86,9.78,overcast clouds
266,Kavaratti,IN,10.5669,72.642,81.03,80,98,22.03,overcast clouds
267,El Arenal,MX,20.7833,-103.7,85.91,33,72,2.68,broken clouds
268,Labrea,BR,-7.2586,-64.7981,80.26,64,62,2.15,broken clouds
269,Muisne,EC,0.6,-80.0333,74.39,87,99,8.43,overcast clouds
270,Roald,NO,62.5833,6.1333,54.16,93,100,11.5,drizzle
271,Bloomington,US,44.8408,-93.2983,85.01,56,75,10.36,broken clouds
272,Umtata,ZA,-31.5889,28.7844,45.16,76,0,2.3,clear sky
273,Vilhena,BR,-12.7406,-60.1458,73.8,53,12,2.8,few clouds
274,Den Helder,NL,52.9599,4.7593,59.99,78,100,8.99,overcast clouds
275,Vigrestad,NO,58.5667,5.7,53.28,76,95,23.8,overcast clouds
276,Sarishabari,BD,24.7333,89.8333,81.34,83,91,8.55,overcast clouds
277,Portland,US,45.5234,-122.6762,83.61,48,75,9.22,broken clouds
278,Banda Aceh,ID,5.5577,95.3222,81.0,75,100,14.05,overcast clouds
279,Belyy Yar,RU,53.6039,91.3903,58.89,76,0,6.71,clear sky
280,Wad Madani,SD,14.4012,33.5199,80.37,67,100,14.81,overcast clouds
281,Adrar,MR,20.5022,-10.0711,100.11,13,26,7.34,scattered clouds
282,Gigmoto,PH,13.7796,124.39,81.41,84,100,3.67,light rain
283,Sulina,RO,45.1559,29.6536,67.64,73,62,17.6,broken clouds
284,Kokorevka,RU,52.5872,34.2778,58.06,93,97,1.9,overcast clouds
285,Alofi,NU,-19.0595,-169.9187,77.07,76,96,23.8,overcast clouds
286,Lingao,CN,19.9103,109.6859,79.83,91,24,6.67,few clouds
287,Saint George,US,37.1041,-113.5841,107.64,10,0,20.71,clear sky
