City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
438,Santiago Del Estero,AR,77.74,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
439,Manggar,ID,80.62,broken clouds,-2.8833,108.2667,Guest Hotel
441,Kaspiyskiy,RU,77.52,clear sky,45.3929,47.3707,"Gostinitsa ""Gostevoy Dvor"""
444,Buraydah,SA,86.45,overcast clouds,26.326,43.975,Mövenpick Qassim
452,Wajima,JP,79.48,broken clouds,37.4,136.9,Wajiima Onsen Yashio
453,Gotemba,JP,77.54,overcast clouds,35.3,138.9333,マースガーデンウッド御殿場
454,Takoradi,GH,75.49,overcast clouds,4.8845,-1.7554,Raybow International Hotel
456,Touros,BR,76.12,clear sky,-5.1989,-35.4608,INN NEW HORIZON
457,Pagudpud,PH,82.99,overcast clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
460,Norman Wells,CA,82.44,smoke,65.282,-126.8329,Heritage Hotel
462,Jacareacanga,BR,78.51,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
463,High Level,CA,75.31,broken clouds,58.5169,-117.136,Days Inn by Wyndham High Level
466,Faanui,PF,77.97,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
467,Sao Felix Do Xingu,BR,77.95,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
468,Najran,SA,86.65,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
469,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Pirineos
470,Sokoni,TZ,76.55,clear sky,-6.4333,39.55,Ujamaa Beach Resort
471,Dothan,US,84.4,moderate rain,31.2232,-85.3905,Courtyard by Marriott Dothan
475,Isangel,VU,82.51,scattered clouds,-19.55,169.2667,Tanna Lodge
479,Puerto Colombia,CO,82.49,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
480,Delhi,IN,84.29,mist,28.6667,77.2167,Maidens Hotel
481,Daru,PG,78.62,broken clouds,-9.0763,143.2092,Daru Lodge
483,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
486,Bam,IR,88.41,scattered clouds,29.106,58.357,Bam Tourist Hotel
487,Harper,LR,75.97,broken clouds,4.375,-7.7169,Screensaver
488,Naze,JP,80.55,clear sky,28.3667,129.4833,Shishime Hotel
489,Dubti,ET,85.68,overcast clouds,11.7361,41.0853,degu Shiferaw
498,Saint Anthony,US,84.85,broken clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
499,Samarai,PG,82.06,overcast clouds,-10.6167,150.6667,Nuli Sapi
500,Kralendijk,BQ,82.38,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
502,Big Rapids,US,79.7,clear sky,43.6981,-85.4837,"Holiday Inn Big Rapids, an IHG Hotel"
504,Bac Lieu,VN,76.8,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
505,Nador,MA,75.45,clear sky,35.174,-2.9287,Hôtel La Giralda
510,Nikolayevsk-Na-Amure,RU,79.52,scattered clouds,53.1406,140.73,Mini-hotel «Quiet Harbor»
512,Asilah,MA,84.16,clear sky,35.465,-6.0348,Hotel Zelis
518,Sohag,EG,85.41,scattered clouds,26.557,31.6948,Civil Registry - Sohag 1
520,Naples,IT,76.75,clear sky,40.8333,14.25,Renaissance Naples Hotel Mediterraneo
525,Patiya,BD,76.8,broken clouds,22.2931,91.9762,Sorry
532,Bluffton,US,77.02,thunderstorm,32.2371,-80.8604,Holiday Inn Express & Suites Bluffton @ Hilton Head Area
